,source_user,username,target_user
12501,17861072,crisguerra,drewzecena
12502,17861072,crisguerra,BArevalodeLeon
12505,139189148,NOREIAS,UbaldoMacu
12510,1494109832244338689,_utrillo77,GuatemalaGob
12511,2887340357,herbertgramajo1,drewzecena
12512,2887340357,herbertgramajo1,BArevalodeLeon
12527,127720415,JrafaelRev,GuatemalaGob
12536,205009534,Soygeorgegt,drewzecena
12537,205009534,Soygeorgegt,BArevalodeLeon
12538,417136561,Drom__,BArevalodeLeon
12540,3250853815,MomaAntonio,UbaldoMacu
12543,80146329,drewzecena,BArevalodeLeon
12544,98935721,eumaple,FJimenezmingob
12545,98935721,eumaple,mingobguate
12546,98935721,eumaple,PNCdeGuatemala
12547,98935721,eumaple,DTransitoPNC
